theta1,theta2,theta3
0.0144477,0.28578,0.699772
0.129286,0.0744376,0.796277
0.131952,0.355998,0.51205
0.245811,0.243169,0.51102
0.157706,0.495141,0.347153
0.0776994,0.499206,0.423095
0.228856,0.464962,0.306182
0.199474,0.236947,0.563579
0.0697528,0.461439,0.468808
0.288309,0.375948,0.335743
0.0657365,0.441253,0.493011
0.157771,0.124714,0.717515
0.0903479,0.261521,0.648131
0.234686,0.067083,0.698231
0.533059,0.0537837,0.413157
0.0500959,0.223284,0.726621
0.326048,0.450735,0.223218
0.242691,0.207743,0.549566
0.0705748,0.432344,0.497081
0.441485,0.0862235,0.472291
0.214983,0.309342,0.475676
0.184208,0.319394,0.496398
0.440131,0.25564,0.304228
0.216314,0.372865,0.410821
0.398223,0.128354,0.473423
0.219549,0.438044,0.342406
0.320248,0.298204,0.381549
0.0520044,0.282603,0.665392
0.243264,0.126797,0.62994
0.192227,0.186034,0.621739
0.170189,0.197485,0.632326
0.182639,0.439717,0.377643
0.328165,0.175573,0.496262
0.125537,0.239827,0.634636
0.226668,0.309289,0.464042
0.31179,0.508887,0.179323
0.1038,0.493248,0.402951
0.14843,0.150173,0.701397
0.311707,0.216486,0.471807
0.298689,0.248773,0.452538
0.248243,0.306301,0.445457
0.101816,0.407476,0.490709
0.190288,0.277461,0.532252
0.23436,0.280346,0.485294
0.0404333,0.306676,0.65289
0.251992,0.388588,0.35942
0.0156833,0.19301,0.791307
0.0924826,0.338229,0.569289
0.0696044,0.419017,0.511378
0.0641847,0.435221,0.500595
0.143538,0.116535,0.739927
0.258831,0.251765,0.489404
0.184062,0.115519,0.700419
0.0733402,0.288598,0.638062
0.327005,0.0860507,0.586944
0.272137,0.250876,0.476987
0.178745,0.518608,0.302646
0.0889903,0.246565,0.664445
0.26867,0.135799,0.595531
0.0322827,0.453266,0.514451
0.0413429,0.61078,0.347878
0.338738,0.286932,0.37433
0.331553,0.180423,0.488024
0.105944,0.384374,0.509682
0.0821598,0.289993,0.627848
0.317976,0.325002,0.357022
0.520341,0.0875246,0.392135
0.485599,0.149393,0.365008
0.401213,0.267736,0.331051
0.100619,0.529783,0.369597
0.0750935,0.13905,0.785856
0.126722,0.404752,0.468526
0.216961,0.28365,0.499388
0.0794853,0.518,0.402514
0.129646,0.289414,0.58094
0.353176,0.0876997,0.559124
0.226077,0.299233,0.474689
0.110223,0.410366,0.479411
0.305185,0.12968,0.565134
0.189275,0.250346,0.560379
0.135833,0.427201,0.436965
0.0883779,0.218054,0.693568
0.0171023,0.20967,0.773227
0.100516,0.634069,0.265415
0.230983,0.294592,0.474425
0.208841,0.186808,0.604351
0.256163,0.257963,0.485874
0.070728,0.355505,0.573767
0.310677,0.140195,0.549128
0.327354,0.170729,0.501918
0.233649,0.338851,0.4275
0.0947945,0.540617,0.364588
0.270037,0.160414,0.569549
0.134335,0.54477,0.320895
0.570523,0.181725,0.247753
0.209183,0.100582,0.690235
0.15116,0.316067,0.532773
0.348125,0.236139,0.415736
0.0944468,0.475889,0.429665
0.474368,0.191138,0.334494
0.173669,0.514315,0.312016
0.287953,0.205207,0.50684
0.0760908,0.538045,0.385864
0.249236,0.492967,0.257797
0.309122,0.16908,0.521798
0.121406,0.259593,0.619002
0.297668,0.272786,0.429546
0.233156,0.539096,0.227748
0.0812148,0.282135,0.636651
0.360818,0.240857,0.398325
0.200386,0.259548,0.540066
0.224271,0.379876,0.395853
0.0519948,0.421612,0.526394
0.0860029,0.613841,0.300156
0.0974411,0.235758,0.666801
0.124743,0.170029,0.705228
0.266343,0.245717,0.48794
0.283542,0.320066,0.396391
0.00216563,0.20305,0.794785
0.243589,0.148103,0.608307
0.315395,0.211423,0.473182
0.455008,0.047475,0.497517
0.0182185,0.169096,0.812685
0.396273,0.292548,0.311179
0.00265804,0.242067,0.755275
0.153578,0.364814,0.481608
0.135101,0.521684,0.343215
0.185365,0.288967,0.525668
0.495208,0.145983,0.358809
0.0552733,0.42505,0.519676
0.250957,0.199704,0.549339
0.0856984,0.24545,0.668852
0.27699,0.218407,0.504602
0.129034,0.0602615,0.810704
0.271197,0.361207,0.367597
0.0410601,0.273388,0.685552
0.161414,0.12625,0.712337
0.0762445,0.466267,0.457488
0.307867,0.404605,0.287527
0.10591,0.340789,0.553302
0.368613,0.221519,0.409868
0.190613,0.146462,0.662925
0.125345,0.309003,0.565653
0.130389,0.541781,0.32783
0.253185,0.302615,0.444199
0.226515,0.136259,0.637226
0.254009,0.348135,0.397856
0.130026,0.58169,0.288285
0.137947,0.329876,0.532177
0.244963,0.221304,0.533733
0.426756,0.198427,0.374817
0.317445,0.199228,0.483327
0.273555,0.0910651,0.63538
0.319128,0.339542,0.341329
0.197508,0.379119,0.423372
0.298786,0.407076,0.294138
0.208012,0.454252,0.337736
0.250613,0.373298,0.376088
0.254972,0.152024,0.593004
0.218477,0.322527,0.458996
0.161724,0.101397,0.736878
0.0780559,0.104149,0.817795
0.246449,0.371916,0.381635
0.11539,0.182047,0.702563
0.138913,0.308028,0.553059
0.182117,0.387887,0.429996
0.133624,0.50336,0.363016
0.213045,0.11197,0.674984
0.289295,0.429117,0.281588
0.323342,0.289455,0.387203
0.200665,0.170759,0.628576
0.146872,0.490587,0.362541
0.0578024,0.323026,0.619172
0.156545,0.171568,0.671887
0.340931,0.220484,0.438585
0.43772,0.116035,0.446245
0.104364,0.156365,0.73927
0.198804,0.390179,0.411017
0.146793,0.30869,0.544518
0.138057,0.21102,0.650923
0.299247,0.463302,0.237451
0.334464,0.414783,0.250753
0.202868,0.350116,0.447016
0.283815,0.255317,0.460868
0.0918301,0.43736,0.47081
0.191128,0.236734,0.572137
0.131439,0.334395,0.534166
0.0315902,0.250567,0.717843
0.328741,0.22784,0.443419
0.00389385,0.410113,0.585993
0.0430913,0.0596146,0.897294
0.259107,0.393533,0.347361
0.188977,0.0764648,0.734559
0.175166,0.510403,0.314431
0.0260832,0.37502,0.598897
0.468949,0.230735,0.300315
0.257279,0.499783,0.242938
0.0648505,0.349818,0.585332
0.164484,0.0779994,0.757516
0.247373,0.321484,0.431142
0.244725,0.486159,0.269116
0.224223,0.250023,0.525754
0.129174,0.215686,0.65514
0.087449,0.558258,0.354293
0.46352,0.351554,0.184926
0.429017,0.207622,0.363361
0.350432,0.289372,0.360196
0.0581325,0.407213,0.534655
0.152289,0.432932,0.41478
0.138239,0.153831,0.70793
0.172191,0.152077,0.675732
0.0603101,0.101162,0.838528
0.200371,0.111979,0.68765
0.0596884,0.365603,0.574709
0.252518,0.221518,0.525964
0.289006,0.290041,0.420953
0.571254,0.32164,0.107106
0.0283984,0.55436,0.417242
0.342926,0.232327,0.424746
0.0828509,0.22234,0.694809
0.0735073,0.458503,0.46799
0.234133,0.182322,0.583545
0.162879,0.189719,0.647402
0.304391,0.42831,0.267299
0.0853013,0.42334,0.491359
0.186168,0.397574,0.416257
0.0786399,0.191947,0.729413
0.285111,0.347034,0.367855
0.371635,0.124204,0.504161
0.209397,0.243937,0.546665
0.246652,0.183914,0.569434
0.244844,0.478412,0.276745
0.119326,0.236533,0.644141
0.0932451,0.293656,0.613099
0.144153,0.370619,0.485228
0.1909,0.222527,0.586573
0.336176,0.275864,0.38796
0.0952657,0.202688,0.702046
0.131168,0.669218,0.199613
0.271344,0.267358,0.461298
0.572263,0.172181,0.255557
0.0627725,0.261266,0.675961
0.160711,0.141223,0.698065
0.435087,0.0972244,0.467689
0.107681,0.488898,0.403421
0.194949,0.233125,0.571926
0.512454,0.283781,0.203765
0.207571,0.214395,0.578034
0.118649,0.14877,0.732582
0.091319,0.353681,0.555
0.0970178,0.143487,0.759495
0.281098,0.341431,0.377471
0.301321,0.164833,0.533846
0.418212,0.0951554,0.486633
0.260828,0.166116,0.573056
0.190463,0.238333,0.571204
0.121936,0.237085,0.640979
0.0967513,0.218779,0.684469
0.301322,0.269647,0.429031
0.0997041,0.516996,0.3833
0.299359,0.0311033,0.669538
0.526921,0.0937642,0.379315
0.100756,0.298258,0.600985
0.175062,0.316896,0.508042
0.162732,0.337717,0.499551
0.107474,0.456088,0.436438
0.573743,0.270007,0.156249
0.121501,0.224597,0.653901
0.248466,0.352368,0.399166
0.304802,0.298234,0.396965
0.129541,0.26845,0.602009
0.179292,0.186736,0.633971
0.104934,0.293162,0.601904
0.226974,0.290587,0.48244
0.0690495,0.258549,0.672402
0.238451,0.381928,0.379621
0.184453,0.210572,0.604975
0.173564,0.346523,0.479913
0.112509,0.319816,0.567675
0.321726,0.459147,0.219127
0.0828949,0.450437,0.466668
0.145368,0.198221,0.65641
0.144293,0.408986,0.446721
0.391801,0.221147,0.387052
0.401969,0.169407,0.428624
0.1101,0.196705,0.693195
0.0921303,0.164056,0.743813
0.263083,0.302964,0.433953
0.16664,0.26858,0.56478
0.0387899,0.513077,0.448133
0.350756,0.167264,0.481981
0.307246,0.201705,0.491048
0.123742,0.352124,0.524134
0.0549349,0.393941,0.551124
0.0639943,0.183102,0.752904
0.434139,0.222211,0.34365
0.523067,0.157298,0.319634
0.167765,0.361216,0.471019
0.174018,0.421514,0.404469
0.371616,0.26095,0.367433
0.243642,0.392259,0.364099
0.230636,0.07292,0.696444
0.0729686,0.27395,0.653082
0.0678261,0.198645,0.733529
0.116442,0.151776,0.731783
0.303453,0.303175,0.393372
0.246759,0.0515408,0.7017
0.363042,0.219197,0.417761
0.048857,0.155265,0.795878
0.264861,0.360198,0.37494
0.167218,0.320897,0.511885
0.0753234,0.319121,0.605555
0.184095,0.310752,0.505153
0.075229,0.575464,0.349307
0.204031,0.346142,0.449827
0.270789,0.145911,0.5833
0.132557,0.53205,0.335393
0.272582,0.375266,0.352153
0.152467,0.154275,0.693258
0.0762439,0.323586,0.60017
0.135847,0.539186,0.324967
0.185717,0.236007,0.578276
0.096464,0.342835,0.560701
0.092009,0.351646,0.556345
0.0650535,0.152295,0.782651
0.128334,0.115034,0.756632
0.46197,0.303481,0.234549
0.329736,0.201813,0.468451
0.21142,0.233095,0.555485
0.100278,0.333311,0.566411
0.0750091,0.278898,0.646092
0.277043,0.379241,0.343716
0.0934223,0.274447,0.63213
0.294283,0.372343,0.333374
0.291298,0.0979692,0.610732
0.0459987,0.333176,0.620825
0.169159,0.482637,0.348204
0.153859,0.345258,0.500883
0.0391753,0.611467,0.349358
0.137881,0.173489,0.68863
0.0762679,0.118551,0.805181
0.0609391,0.331814,0.607247
0.142236,0.409728,0.448036
0.166299,0.472073,0.361628
0.27371,0.345477,0.380813
0.433003,0.0404698,0.526527
0.0940666,0.285175,0.620759
0.191429,0.493666,0.314905
0.0933728,0.285613,0.621015
0.336274,0.372462,0.291264
0.281908,0.162253,0.555839
0.22139,0.280131,0.498479
0.0618433,0.644113,0.294044
0.517006,0.214949,0.268045
0.27741,0.384141,0.338449
0.181074,0.313268,0.505659
0.115846,0.296917,0.587236
0.166336,0.0797451,0.753919
0.0904271,0.410491,0.499082
0.143408,0.24508,0.611512
0.408958,0.279586,0.311455
0.102344,0.531766,0.36589
0.411415,0.189702,0.398883
0.102096,0.341322,0.556582
0.282063,0.252827,0.465109
0.394535,0.152,0.453465
0.0239145,0.399948,0.576138
0.520045,0.182687,0.297268
0.325615,0.180191,0.494194
0.436774,0.201359,0.361867
0.10353,0.413887,0.482583
0.125689,0.337696,0.536616
0.195539,0.379694,0.424767
0.12503,0.545714,0.329257
0.155974,0.452412,0.391614
0.206103,0.345712,0.448185
0.321199,0.427044,0.251757
0.102761,0.251901,0.645339
0.0243612,0.65681,0.318829
0.645857,0.15805,0.196093
0.313472,0.179437,0.507091
0.0290751,0.533162,0.437763
0.255513,0.244479,0.500008
0.613257,0.122598,0.264145
0.484025,0.247203,0.268772
0.0810411,0.214779,0.70418
0.071194,0.272006,0.656801
0.248843,0.492687,0.25847
0.0273523,0.230574,0.742074
0.209559,0.499917,0.290523
0.116445,0.383098,0.500457
0.029776,0.560222,0.410002
0.117906,0.411802,0.470292
0.259887,0.208417,0.531695
0.252625,0.281192,0.466183
0.122283,0.282586,0.59513
0.167738,0.272123,0.560139
0.232221,0.146565,0.621214
0.0406907,0.483334,0.475976
0.158219,0.438105,0.403676
0.255218,0.212391,0.532391
0.2671,0.264008,0.468892
0.105849,0.348116,0.546034
0.108752,0.434593,0.456655
0.208566,0.126144,0.66529
0.191598,0.512249,0.296153
0.274134,0.154857,0.571009
0.30681,0.159903,0.533287
0.184683,0.307436,0.507881
0.266566,0.117722,0.615711
0.148074,0.188145,0.66378
0.0961531,0.432073,0.471774
0.206681,0.0513315,0.741988
0.230317,0.380427,0.389256
0.43341,0.16527,0.40132
0.200565,0.33125,0.468185
0.0736392,0.287661,0.6387
0.189721,0.121163,0.689117
0.306072,0.279757,0.414171
0.171529,0.376276,0.452195
0.0966668,0.311506,0.591827
0.165971,0.144524,0.689506
0.0978543,0.283547,0.618599
0.204867,0.390213,0.40492
0.0866236,0.524067,0.38931
0.0351532,0.29414,0.670706
0.0625504,0.218069,0.71938
0.264317,0.328665,0.407018
0.151783,0.24326,0.604957
0.0797589,0.617965,0.302276
0.0975499,0.32666,0.57579
0.0762329,0.545052,0.378715
0.210858,0.359736,0.429406
0.258101,0.353739,0.38816
0.397096,0.226432,0.376473
0.0370527,0.44444,0.518507
0.239409,0.500698,0.259893
0.297924,0.293727,0.408349
0.195064,0.247307,0.557629
0.169212,0.198275,0.632513
0.240471,0.159353,0.600176
0.127604,0.352597,0.519799
0.431491,0.189766,0.378743
0.298682,0.510603,0.190716
0.1976,0.41166,0.39074
0.617362,0.200638,0.181999
0.0404999,0.130597,0.828903
0.147093,0.205692,0.647215
0.264419,0.156488,0.579093
0.306899,0.383307,0.309794
0.317617,0.205489,0.476894
0.434337,0.215761,0.349901
0.310757,0.540246,0.148997
0.3354,0.101765,0.562835
0.116096,0.363281,0.520623
0.108056,0.340436,0.551508
0.279541,0.402004,0.318455
0.0607354,0.429811,0.509454
0.189783,0.385125,0.425091
0.206527,0.142302,0.651171
0.105056,0.734186,0.160758
0.15401,0.171696,0.674294
0.240917,0.314385,0.444698
0.0579572,0.228844,0.713199
0.0544591,0.323106,0.622434
0.0741716,0.362043,0.563785
0.166452,0.299586,0.533962
0.206474,0.398009,0.395517
0.24574,0.326541,0.42772
0.187365,0.307266,0.505369
0.125875,0.314414,0.55971
0.0785353,0.189988,0.731477
0.175978,0.364993,0.459029
0.141078,0.221503,0.637419
0.0766816,0.12992,0.793398
0.0698308,0.546185,0.383984
0.215301,0.130298,0.654401
0.278641,0.206286,0.515073
0.111221,0.238889,0.64989
0.115804,0.381647,0.502549
0.255919,0.203612,0.540469
0.102802,0.386033,0.511165
0.205703,0.474964,0.319333
0.19721,0.336565,0.466225
0.024084,0.165298,0.810618
0.725167,0.104383,0.17045
0.0728907,0.298236,0.628874
0.17061,0.253009,0.576381
0.0767203,0.271519,0.651761
0.175172,0.398459,0.426369
0.129023,0.198289,0.672689
0.380468,0.153185,0.466346
0.345533,0.22336,0.431107
0.334166,0.127423,0.53841
0.347281,0.10121,0.551509
0.259174,0.608335,0.132491
0.177871,0.308967,0.513162
0.0713565,0.139024,0.789619
0.126955,0.37544,0.497605
0.249378,0.488295,0.262328
0.284998,0.395217,0.319785
0.216585,0.301804,0.481612
0.0335001,0.569264,0.397236
0.215012,0.0276366,0.757352
0.0495895,0.563056,0.387354
0.184449,0.364576,0.450974
0.194989,0.410565,0.394447
0.177884,0.389644,0.432472
0.0252203,0.366564,0.608215
0.306243,0.33554,0.358216
0.258222,0.501404,0.240374
0.239719,0.352179,0.408102
0.221623,0.112971,0.665407
0.156185,0.272146,0.57167
0.0699982,0.398883,0.531119
0.143718,0.319251,0.537032
0.0990976,0.279849,0.621054
0.255644,0.341404,0.402952
0.0289615,0.230803,0.740235
0.335467,0.408748,0.255785
0.171923,0.271338,0.556739
0.405411,0.396892,0.197696
0.174182,0.21973,0.606089
0.150117,0.285696,0.564187
0.0803092,0.61131,0.30838
0.0804206,0.318971,0.600609
0.612519,0.250702,0.136778
0.29706,0.407671,0.295269
0.0737073,0.153545,0.772748
0.0193588,0.305106,0.675536
0.12127,0.281776,0.596955
0.106707,0.385399,0.507894
0.247714,0.518211,0.234076
0.28725,0.333115,0.379635
0.0205281,0.435883,0.543589
0.101356,0.580829,0.317815
0.173923,0.438017,0.38806
0.474486,0.279793,0.245721
0.1638,0.323319,0.512881
0.194404,0.200282,0.605314
0.0532482,0.308791,0.637961
0.0577601,0.161891,0.780349
0.0825614,0.258885,0.658554
0.17933,0.199795,0.620875
0.140995,0.391252,0.467753
0.157879,0.247362,0.594759
0.33313,0.233367,0.433503
0.180796,0.529789,0.289415
0.503393,0.215117,0.28149
0.34196,0.314684,0.343356
0.17543,0.554949,0.269622
0.370485,0.178178,0.451338
0.11252,0.568823,0.318657
0.157105,0.362218,0.480677
0.0869455,0.190332,0.722723
0.117069,0.427522,0.455409
0.0708308,0.323246,0.605924
0.327018,0.235801,0.437181
0.272612,0.275218,0.45217
0.05287,0.630941,0.316189
0.396539,0.272637,0.330824
0.308869,0.199623,0.491508
0.0232525,0.237591,0.739157
0.185056,0.403181,0.411763
0.218572,0.185635,0.595793
0.302583,0.252805,0.444612
0.0981868,0.177025,0.724789
0.0812768,0.194967,0.723756
0.323738,0.289575,0.386687
0.452345,0.155034,0.39262
0.0863868,0.103085,0.810529
0.375738,0.149654,0.474608
0.126354,0.434794,0.438852
0.109664,0.498495,0.391841
0.150362,0.527605,0.322033
0.258648,0.306918,0.434435
0.339945,0.327456,0.332599
0.0967667,0.251136,0.652097
0.139672,0.451222,0.409106
0.0842473,0.568414,0.347339
0.0678373,0.312825,0.619338
0.348487,0.184035,0.467479
0.262478,0.254882,0.48264
0.153682,0.263568,0.582749
0.273773,0.210289,0.515938
0.16021,0.377061,0.462729
0.297072,0.203762,0.499166
0.0498438,0.229036,0.721121
0.199119,0.246622,0.554259
0.0971035,0.242485,0.660411
0.128239,0.375398,0.496363
0.407203,0.0855448,0.507253
0.0212511,0.351093,0.627656
0.132153,0.183588,0.684259
0.203806,0.155484,0.64071
0.318379,0.127145,0.554476
0.654391,0.248286,0.0973224
0.220553,0.424763,0.354684
0.111948,0.0732267,0.814825
0.21725,0.359673,0.423077
0.252342,0.133667,0.613991
0.195831,0.352589,0.45158
0.0346912,0.431614,0.533695
0.186041,0.307963,0.505996
0.359245,0.164718,0.476038
0.126389,0.343872,0.529738
0.510878,0.269644,0.219478
0.576613,0.168356,0.255031
0.442152,0.202963,0.354885
0.247218,0.256808,0.495974
0.053104,0.358124,0.588772
0.170891,0.518395,0.310715
0.127312,0.223382,0.649305
0.18319,0.252154,0.564656
0.372796,0.171851,0.455353
0.179924,0.305941,0.514135
0.250559,0.15126,0.598181
0.0640905,0.224278,0.711632
0.422611,0.0952122,0.482177
0.265638,0.355029,0.379333
0.560758,0.162577,0.276665
0.112728,0.749299,0.137973
0.0880142,0.556052,0.355934
0.203472,0.340609,0.455919
0.091354,0.425373,0.483273
0.0967331,0.337228,0.566039
0.134318,0.445251,0.420431
0.235208,0.422028,0.342764
0.0676628,0.479127,0.45321
0.075733,0.472737,0.45153
0.252151,0.397414,0.350435
0.134119,0.418546,0.447335
0.0959739,0.0712912,0.832735
0.243662,0.352887,0.403451
0.137878,0.439883,0.422239
0.0294324,0.393324,0.577243
0.254829,0.156236,0.588935
0.331974,0.255784,0.412242
0.641263,0.168483,0.190253
0.149034,0.301215,0.549752
0.265425,0.291777,0.442798
0.183652,0.458365,0.357983
0.295745,0.206324,0.497931
0.32952,0.106693,0.563787
0.159762,0.334864,0.505373
0.306317,0.181967,0.511717
0.242982,0.245694,0.511323
0.0738059,0.114075,0.812119
0.0691956,0.499337,0.431467
0.211906,0.441701,0.346392
0.248396,0.452026,0.299578
0.176559,0.294031,0.52941
0.467925,0.224972,0.307104
0.0740865,0.134309,0.791604
0.151542,0.350769,0.497689
0.0342904,0.175723,0.789987
0.513623,0.147133,0.339243
0.183544,0.259312,0.557144
0.191392,0.284654,0.523954
0.301486,0.136949,0.561565
0.10838,0.301598,0.590022
0.0555288,0.19761,0.746861
0.252321,0.352013,0.395666
0.153195,0.305437,0.541368
0.244561,0.294801,0.460638
0.403464,0.122,0.474536
0.177855,0.312322,0.509823
0.25821,0.345219,0.396571
0.198005,0.339345,0.46265
0.22864,0.174854,0.596506
0.201822,0.48572,0.312458
0.106102,0.250789,0.643108
0.0735621,0.570995,0.355443
0.0901848,0.151231,0.758585
0.0777925,0.355911,0.566297
0.375064,0.250116,0.37482
0.144034,0.293427,0.562539
0.356749,0.23366,0.409591
0.0716847,0.642001,0.286315
0.0809096,0.495079,0.424012
0.309537,0.0336491,0.656814
0.0884714,0.49375,0.417779
0.213893,0.270996,0.515112
0.0780943,0.268102,0.653803
0.111613,0.376468,0.511919
0.193142,0.402096,0.404762
0.145353,0.120027,0.73462
0.364933,0.264418,0.370649
0.648793,0.0698212,0.281386
0.382463,0.190344,0.427193
0.277986,0.4525,0.269514
0.197214,0.173001,0.629786
0.199541,0.324276,0.476183
0.227624,0.336584,0.435792
0.489615,0.25237,0.258015
0.0316807,0.448356,0.519963
0.0224594,0.531019,0.446521
0.193677,0.254313,0.55201
0.517783,0.114436,0.367781
0.238567,0.194477,0.566956
0.305231,0.242655,0.452114
0.297153,0.259043,0.443804
0.488872,0.234067,0.277061
0.0824169,0.429062,0.488521
0.0667999,0.32002,0.61318
0.213667,0.355133,0.4312
0.0881501,0.344638,0.567212
0.248876,0.270387,0.480738
0.166968,0.204739,0.628293
0.130868,0.263824,0.605308
0.118984,0.116156,0.76486
0.26381,0.134087,0.602103
0.187407,0.505562,0.307031
0.179684,0.308994,0.511322
0.31429,0.202315,0.483395
0.106317,0.38088,0.512804
0.24865,0.190006,0.561344
0.0210657,0.030385,0.948549
0.265895,0.304129,0.429976
0.30059,0.378587,0.320823
0.270172,0.385203,0.344625
0.310122,0.221215,0.468664
0.121637,0.393405,0.484957
0.175299,0.423408,0.401293
0.125725,0.189571,0.684704
0.342768,0.108523,0.54871
0.44639,0.21382,0.339791
0.0849624,0.533435,0.381603
0.340401,0.4339,0.225699
0.256285,0.145902,0.597813
0.114525,0.443056,0.442418
0.361245,0.17367,0.465084
0.321838,0.234742,0.44342
0.200907,0.383573,0.41552
0.112108,0.464117,0.423775
0.140517,0.218734,0.640749
0.0208113,0.174338,0.804851
0.126447,0.274836,0.598717
0.155633,0.267555,0.576812
0.119835,0.596628,0.283537
0.210981,0.287674,0.501345
0.0957289,0.591546,0.312725
0.115315,0.294464,0.59022
0.260368,0.477865,0.261767
0.251008,0.28186,0.467132
0.0971803,0.501239,0.40158
0.272151,0.185192,0.542657
0.15188,0.375254,0.472866
0.15197,0.203763,0.644267
0.103335,0.599027,0.297638
0.131207,0.545974,0.322819
0.0786915,0.253487,0.667821
0.0558515,0.256013,0.688135
0.320652,0.196906,0.482442
0.149735,0.156674,0.693591
0.13531,0.263519,0.601172
0.317524,0.282877,0.399599
0.341344,0.260824,0.397833
0.265515,0.154052,0.580434
0.224945,0.562131,0.212924
0.0838516,0.33169,0.584458
0.242305,0.425441,0.332254
0.299294,0.22564,0.475065
0.0834811,0.368288,0.548231
0.148758,0.281857,0.569385
0.0346505,0.227947,0.737403
0.119321,0.309177,0.571502
0.194361,0.386106,0.419533
0.155039,0.240182,0.604779
0.03786,0.280888,0.681252
0.23648,0.347569,0.415951
0.118061,0.0582494,0.82369
0.12123,0.218309,0.660461
0.0223901,0.253194,0.724416
0.19902,0.34027,0.46071
0.155066,0.359235,0.485699
0.304157,0.239294,0.456549
0.540317,0.288634,0.171049
0.245021,0.248801,0.506178
0.336861,0.255578,0.407561
0.167654,0.363657,0.468689
0.272347,0.311443,0.41621
0.124539,0.376981,0.49848
0.158628,0.319228,0.522144
0.214038,0.569234,0.216729
0.146287,0.279505,0.574208
0.0886211,0.461139,0.45024
0.301445,0.168199,0.530356
0.221075,0.249644,0.529281
0.349555,0.518926,0.131519
0.355496,0.161968,0.482537
0.0133914,0.299578,0.687031
0.169947,0.423119,0.406934
0.14213,0.54464,0.31323
0.21752,0.270614,0.511866
0.184161,0.327241,0.488597
0.358164,0.223518,0.418318
0.192599,0.373627,0.433774
0.0566437,0.409476,0.53388
0.275058,0.41269,0.312252
0.185685,0.106667,0.707648
0.275127,0.259569,0.465304
0.57535,0.0939197,0.33073
0.12638,0.508704,0.364916
0.262191,0.412142,0.325667
0.0903235,0.429095,0.480582
0.251492,0.280424,0.468084
0.0704422,0.578924,0.350633
0.18688,0.310011,0.50311
0.142317,0.506727,0.350957
0.101938,0.33601,0.562052
0.0949891,0.255971,0.64904
0.345583,0.0746515,0.579766
0.0286851,0.116335,0.854979
0.199884,0.517283,0.282832
0.160275,0.368412,0.471313
0.152931,0.0967628,0.750306
0.194357,0.362114,0.443529
0.14134,0.306478,0.552182
0.177591,0.285686,0.536723
0.0877229,0.167027,0.74525
0.361427,0.261392,0.377181
0.372153,0.0982346,0.529612
0.211801,0.315933,0.472266
0.213955,0.437714,0.348331
0.129924,0.317539,0.552537
0.159538,0.23,0.610463
0.31643,0.270195,0.413375
0.331333,0.215069,0.453598
0.319849,0.181803,0.498348
0.158025,0.229694,0.612281
0.208602,0.332088,0.459311
0.177647,0.170924,0.651428
